qid,title,type,mandatory,relevance,subquestion_count,question_text
304178,Einv,Y,Y,1,0,"Einverständniserklärung Bitte lies die folgenden Informationen sorgfältig durch. Deine Teilnahme ist freiwillig. Forschungsprojekt: Nützlichkeit von künstlicher Intelligenz im Coaching für Bewegungsförderung Verantwortliche Institution: Universität Bern, Institut für Sportwissenschaft (ISPW) Partnerinstitutionen: Rheinisch-Westfälische Technische Hochschule Aachen (RWTH Aachen), Fachhochschule Aachen, Evangelische Hochschule Bochum, Gymian.ai GmbH Einwilligung zur Teilnahme und Datenverarbeitung"
304180,Ges,L,Y,,0,Welches Geschlecht hast du?
304181,Edu,L,S,,0,Was ist dein höchster Bildungsabschluss?
304182,Habit,F,S,,4,
304183,Bew1,!,Y,,0,"An wie vielen Tagen pro Woche verrichtest du anstrengende körperliche Aktivitäten? Anstrengende Aktivität lässt das Herz schnell schlagen und bringt dich ins Schwitzen. Beispiele sind: schnelles Joggen, schnelles Radfahren, Rollschuhfahren, schnelles Schwimmen, Fussball, Basketball."
304184,Bew2,N,Y,Bew1.NAOK >= 1,0,Wie viele Minuten pro Tag verbringst du mit anstrengenden körperlichen Aktivitäten?
304185,Bew3,!,Y,,0,"An wie vielen Tagen pro Woche verrichtest du moderate körperliche Aktivitäten? Moderate Aktivität ist ein bisschen anstrengend, verursacht leicht erhöhtes Herzklopfen und bringt dich ein wenig ins Schwitzen. Beispiele sind: schnelles Gehen, langsames Radfahren, leichtes Schwimmen, Tennis, Tanzen, Volleyball, Tischtennis, Skateboard fahren."
304186,Bew4,N,Y,Bew3.NAOK >= 1,0,Wie viele Minuten pro Tag verbringst du mit moderaten körperlichen Aktivitäten?
304187,Bew5,!,Y,1,0,"An wie vielen Tagen pro Woche verrichtest du leichte körperliche Aktivitäten? Leichte Aktivität ist wenig anstrengend, dein Herz schlägt normal und die Aktivität bringt dich nicht ins Schwitzen. Beispiele sind: langsames Gehen, Bowling, Angeln, Golf, Yoga."
304188,Bew6,N,Y,Bew5.NAOK >= 1,0,Wie viele Minuten pro Tag verbringst du mit leichten körperlichen Aktivitäten?
304189,eMailIG,S,Y,studyGroup == 1,0,"Wie lautet deine E-Mail Adresse, um dir die Details zum weiteren Studienablauf senden zu können?"
304190,STG,L,S,1,0,"Bei der nächsten Frage geht es um regelmässige körperliche Aktivität. Regelmässige körperliche Aktivität bedeutet: - Mindestens 150 Minuten Bewegung pro Woche. - Die Intensität sollte mindestens so hoch sein, dass dein Herz leicht erhöht klopft und du ein wenig schwitzt z.B. schnelles Gehen, Radfahren, Turnen, Schwimmen, Skaten oder Fussballspielen. Bist Du, wie oben beschrieben, regelmässig körperlich aktiv?"
304191,Name,S,Y,,0,"Wie sollen wir dich in der E-Mail und im weiteren Verlauf der Studie ansprechen? Bitte beachte: Der hier gewählte Name wird für jegliche Kommunkation innerhalb der Studie verwendent (d. h. Ansprache in E-Mails sowie in der App). Es wird auch dein Profilname in der Coaching-App. Das bedeutet, dass dieser Name zusammen mit weiteren Daten, die in der App gesammelt (z. B. Alter, Schrittzahl) und zur Generierung eines personalisierten Coachings genutzt werden, an die von uns genutzte künstlichen Inte"
304192,eMailValidIG,S,Y,"regexMatch('/^.+?@.+?\.(de|ch|at|com|net|org|eu|li|info|biz|fr|it|nl|io|ai|co|me|edu|swiss|uk|be|dk|pl|cz|es|se|gmbh|email|cloud|app|dev|tv)$/', eMailIG.NAOK)",0,Bitte bestätige die angegebene E-Mail Adresse.
304193,Intention1,F,S,,1,
304194,Intention2,F,S,,1,
304195,Intention3,F,S,,1,
304196,Att1,F,S,,1,
304197,Att2,F,S,,1,
304198,Att3,F,S,,1,
304199,Att4,F,S,,1,
304200,Att5,F,S,,1,
304201,Norm1,F,S,,1,
304202,Norm2,F,S,,1,
304203,Norm3,F,S,,1,
304204,Norm4,F,S,,1,
304205,Norm5,F,S,,1,
304206,Norm6,F,S,,1,
304207,Control1,F,S,,1,
304208,Control2,F,S,,1,
304209,Control3,F,S,,1,
304210,Control4,F,S,,1,
304212,KIM,F,S,,13,
304215,Wohn,L,Y,,0,In welchem Land lebst du derzeit?
304216,Ethn,P,S,,8,Wie würdest du deine ethnische Herkunft oder kulturelle Zugehörigkeit beschreiben? Bitte spezifiere die Herkunft/Zugehörigkeit im Kommentarfeld.
304321,Geb,D,Y,,0,Wann bist du geboren?
304322,ZiMo,F,S,,31,
304356,randomGroup,*,N,timePoint == 1,0,
304366,eMailKG,S,Y,studyGroup == 2,0,"Wie lautet deine E-Mail Adresse, um dir die Details zum weiteren Studienablauf senden zu können?"
304367,eMailValidKG,S,Y,"regexMatch('/^.+?@.+?\.(de|ch|at|com|net|org|eu|li|info|biz|fr|it|nl|io|ai|co|me|edu|swiss|uk|be|dk|pl|cz|es|se|gmbh|email|cloud|app|dev|tv)$/', eMailKG.NAOK)",0,Bitte bestätige die angegebene E-Mail Adresse.
304476,TAM,F,S,,23,
304477,QualPos,T,S,"(AppUseStudy.NAOK == ""Y"") AND !(studyGroup == 1 AND timePoint == 3)",0,Was hat dir an der {AppName} am besten gefallen?
304478,QualNeg,T,S,"(AppUseStudy.NAOK == ""Y"") AND !(studyGroup == 1 AND timePoint == 3)",0,Welche Verbesserungsvorschläge hättest du für die {AppName}?
304503,QualOthApp,T,S,"(otherAppUse.NAOK == ""Y"")",0,Welche anderen Apps oder Geräte waren das und wofür hast du sie genau genutzt?
304504,AppUseDays,!,Y,"(AppUseStudy.NAOK == ""Y"")",0,An wie vielen Tagen pro Woche hast du diese im Durchschnitt verwendet?
304505,AppUseStudy,Y,Y,,0,"Hast du in den vergangenen 12 Wochen {if((studyGroup == 1 AND timePoint == 2) OR (studyGroup == 2 AND timePoint == 3), ""die Studien KI-App"", if(studyGroup == 2 AND timePoint == 2, ""deine vorinstallierte Gesundheits-App (z. B. Apple Health, Google Fit)"", ""irgendeine App oder Sportuhr (Wearable)""))} verwendet, um deine körperliche Aktivität zu fördern?"
304506,timePoint,*,N,,0,1
304507,studyGroup,*,N,,0,
304545,otherAppUse,Y,S,,0,"Hast du in den vergangenen 12 Wochen andere Apps oder Sportuhren (Wearable) verwendet, um deine körperliche Aktivität zu fördern?"
304546,AppName,*,N,,0,
304551,TransferAppDetail,T,S,"(studyGroup == 1 AND timePoint == 3 AND AppUseStudy.NAOK == ""Y"") OR (studyGroup == 2 AND timePoint == 2 AND AppUseStudy.NAOK == ""N"")",0,"""Welche anderen Apps oder Geräte hast du genutzt und wofür genau?"""
304552,QualAppGeneral,T,S,"(AppUseGeneral.NAOK == ""Y"")",0,"Welche Apps oder Geräte nutzt du aktuell? Beschreibe bitte seit wann, wie oft und wofür du die Apps/Geräte nutzt?"
304553,AppUseGeneral,Y,Y,,0,"Hast du in der Vergangenheit bereits Apps oder Sportuhren (Wearables) verwendet, um deine körperliche Aktivität zu fördern?"
304554,PhoneSystem,L,Y,,0,Welches Betriebssystem hat dein Smartphone?
304555,SystemLink,*,N,,0,
308824,MotivComp,F,S,,4,
308829,VolSelf,F,S,,3,
308834,ActionPlan,F,S,,4,
310785,Prof,L,S,,0,Was ist dein derzeitiges Arbeitsverhältnis?
310786,AlltagAbl,Q,S,,6,Wie verläuft für dich ein typischer (Arbeits-)Tag?
310793,Branche,S,S,,0,Bitte beschreibe die Branche/den Bereich deiner (Arbeits-)Tätigkeit kurz in drei Wörtern.
310800,Einko,L,S,,0,Was ist dein monatliches Einkommen (brutto) pro Monat?
310938,ACheck1,F,S,,1,
311934,EntfernPOI,Q,S,,3,"Wie weit sind folgende Orte ca. von dir entfernt? Wenn dir mehrere Orte zu einer Rubrik einfallen, dann nimm gerne einen Mittelwert aus allen Entfernung."
312107,METtotal,*,Y,1,0,(unsichtbar)
312108,PAFlag,*,Y,1,0,(unsichtbar)
312177,AttentionCheckFlag,*,N,1,0,(unsichtbar)
314241,Wohnort,L,S,!is_empty(Wohn.NAOK),0,"Wie würdest du das Gebiet, in dem du aktuell lebst, am ehesten beschreiben? (Bitte orientiere dich an der ungefähren Einwohnerzahl deiner Gemeinde bzw. Stadt)"
314242,UmgebTyp,F,S,!is_empty(Wohn.NAOK),3,Bitte bewerte deine direkte Wohnumgebung (d. h. im Umkreis von etwa 800 Meter bzw 10 Gehminuten) anhand der folgenden Aussagen:
314246,HHGroesse,N,N,1,0,"Wie viele Personen - inklusive dir - leben in dem Haushalt, in dem du lebst?"
314247,HHMinderj,N,Y,HHGroesse.NAOK > 1,0,Wie viele Personen in deinem Haushalt sind minderjährig (unter 18 Jahren)?
314248,CareArbeit,Y,Y,1,0,"Übernimmst du Aufgaben im Haushalt, bei der Kinderbetreuung oder der Pflege von Angehörigen (d. h. Care-Arbeit)?"
314249,CareStunden,N,Y,"CareArbeit.NAOK == ""Y""",0,Wie viele Stunden pro Woche verbringst du schätzungsweise mit diesen Aufgaben? (Bitte schätze die Dauer in vollen Stunden z. B. 12 Stunden)
314316,Social,N,S,1,0,"Wie viele Stunden pro Woche verbringst du durchschnittlich mit sozialen Kontakten (z. B. Freunde, Familie, Partner:in)? Bitte schätze einen durchschnittlichen Wert über die letzten 7 Tage."
314317,PASubgroup,*,Y,1,0,(unsichtbar)
315241,utmsource,S,N,1,0,utm_source
315242,utmmedium,S,N,1,0,utm_medium
315243,utmcampaign,S,N,1,0,utm_campaign
315244,utmcontent,S,N,1,0,utm_content
315451,BeschaeftProz,N,S,1,0,Wie hoch ist dein aktueller Beschäftigungsgrad bzw. dein Ausbildungs-/Studienpensum in Prozent?
315452,UrlaubWochen,N,S,1,0,Wie viele Wochen Urlaub/Ferien hast du ungefähr pro Jahr?
315453,StressWochen,N,S,1,0,"Wenn du an ein typisches Jahr denkst: In wie vielen Wochen pro Jahr erlebst du deinen Alltag insgesamt als deutlich stressiger oder belastender als gewöhnlich? Gemeint sind Wochen, in denen du dich durch Arbeit, Studium, Ausbildung, Familie oder andere Verpflichtungen deutlich stärker belastet fühlst als in einer normalen Woche."
