variable_name,limesurvey_export_name,classification,keep_drop_decision,reason,manual_review_needed,codebook_label,codebook_scale
Ges,Ges,quasi_identifier,drop,Demographic/context/routine/location-like variable; privacy-risky and requires manual review before inclusion.,true,Self-reported gender of the participant.,demographics
Edu,Edu,quasi_identifier,drop,Demographic/context/routine/location-like variable; privacy-risky and requires manual review before inclusion.,true,Highest completed educational qualification of the participant.,demographics
Wohn,Wohn,quasi_identifier,drop,Demographic/context/routine/location-like variable; privacy-risky and requires manual review before inclusion.,true,Current country of residence.,demographics
Ethn_Am,Ethn[Am],quasi_identifier,drop,Demographic/context/routine/location-like variable; privacy-risky and requires manual review before inclusion.,true,Selection of an American ethnic or cultural affiliation.,demographics
Ethn_As,Ethn[As],quasi_identifier,drop,Demographic/context/routine/location-like variable; privacy-risky and requires manual review before inclusion.,true,Selection of an Asian ethnic or cultural affiliation.,demographics
Ethn_Eu,Ethn[Eu],quasi_identifier,drop,Demographic/context/routine/location-like variable; privacy-risky and requires manual review before inclusion.,true,Selection of a European ethnic or cultural affiliation.,demographics
Ethn_Af,Ethn[Af],quasi_identifier,drop,Demographic/context/routine/location-like variable; privacy-risky and requires manual review before inclusion.,true,Selection of an African ethnic or cultural affiliation.,demographics
Ethn_AuNe,Ethn[AuNe],quasi_identifier,drop,Demographic/context/routine/location-like variable; privacy-risky and requires manual review before inclusion.,true,Selection of an Australian or New Zealand ethnic or cultural affiliation.,demographics
Ethn_LaAa,Ethn[LaAa],quasi_identifier,drop,Demographic/context/routine/location-like variable; privacy-risky and requires manual review before inclusion.,true,Selection of a Latin American or African American ethnic or cultural affiliation.,demographics
Ethn_Noe,Ethn[Noe],quasi_identifier,drop,Demographic/context/routine/location-like variable; privacy-risky and requires manual review before inclusion.,true,Selection of a Middle Eastern ethnic or cultural affiliation.,demographics
Ethn_In,Ethn[In],quasi_identifier,drop,Demographic/context/routine/location-like variable; privacy-risky and requires manual review before inclusion.,true,Selection of an Indigenous ethnic or cultural affiliation.,demographics
Geb,Geb,quasi_identifier,drop,Demographic/context/routine/location-like variable; privacy-risky and requires manual review before inclusion.,true,Date of birth of the participant.,demographics
PhoneSystem,PhoneSystem,quasi_identifier,drop,Demographic/context/routine/location-like variable; privacy-risky and requires manual review before inclusion.,true,Smartphone operating system used by the participant.,device information
Prof,Prof,quasi_identifier,drop,Demographic/context/routine/location-like variable; privacy-risky and requires manual review before inclusion.,true,Current employment status of the participant.,demographics
AufWa,AlltagAbl[AufWa],quasi_identifier,drop,Demographic/context/routine/location-like variable; privacy-risky and requires manual review before inclusion.,true,Wake-up time on a typical day.,daily routine
StaProf,AlltagAbl[StaProf],quasi_identifier,drop,Demographic/context/routine/location-like variable; privacy-risky and requires manual review before inclusion.,true,Start time of work or study on a typical day.,daily routine
PausDau,AlltagAbl[PausDau],quasi_identifier,drop,Demographic/context/routine/location-like variable; privacy-risky and requires manual review before inclusion.,true,Duration of breaks on a typical day.,daily routine
EndProf,AlltagAbl[EndProf],quasi_identifier,drop,Demographic/context/routine/location-like variable; privacy-risky and requires manual review before inclusion.,true,End time of work or study on a typical day.,daily routine
FreiDau,AlltagAbl[FreiDau],quasi_identifier,drop,Demographic/context/routine/location-like variable; privacy-risky and requires manual review before inclusion.,true,Duration of leisure time on a typical day.,daily routine
BettZeit,AlltagAbl[BettZeit],quasi_identifier,drop,Demographic/context/routine/location-like variable; privacy-risky and requires manual review before inclusion.,true,Bedtime on a typical day.,daily routine
Einko,Einko,quasi_identifier,drop,Demographic/context/routine/location-like variable; privacy-risky and requires manual review before inclusion.,true,Monthly gross income category.,demographics
BStel,EntfernPOI[BStel],quasi_identifier,drop,Demographic/context/routine/location-like variable; privacy-risky and requires manual review before inclusion.,true,Approximate distance from home to place of occupation.,distance to points of interest
InBew,EntfernPOI[InBew],quasi_identifier,drop,Demographic/context/routine/location-like variable; privacy-risky and requires manual review before inclusion.,true,Approximate distance from home to indoor physical activity opportunities.,distance to points of interest
OutBew,EntfernPOI[OutBew],quasi_identifier,drop,Demographic/context/routine/location-like variable; privacy-risky and requires manual review before inclusion.,true,Approximate distance from home to outdoor physical activity opportunities.,distance to points of interest
Wohnort,Wohnort,quasi_identifier,drop,Demographic/context/routine/location-like variable; privacy-risky and requires manual review before inclusion.,true,Self-described type of residential area.,socio-demographic information
Ver,UmgebTyp[Ver],quasi_identifier,drop,Demographic/context/routine/location-like variable; privacy-risky and requires manual review before inclusion.,true,Evaluation of whether the direct residential environment is densely built and highly sealed.,residential environment
Nat,UmgebTyp[Nat],quasi_identifier,drop,Demographic/context/routine/location-like variable; privacy-risky and requires manual review before inclusion.,true,"Evaluation of whether the participant has quick access from home to nature such as forest, parks, or water.",residential environment
Mov,UmgebTyp[Mov],quasi_identifier,drop,Demographic/context/routine/location-like variable; privacy-risky and requires manual review before inclusion.,true,Evaluation of whether pleasant and safe routes for walking or cycling are available in everyday life/leisure time.,residential environment
HHGroesse,HHGroesse,quasi_identifier,drop,Demographic/context/routine/location-like variable; privacy-risky and requires manual review before inclusion.,true,"Number of people living in the participant’s household, including the participant.",household information
HHMinderj,HHMinderj,quasi_identifier,drop,Demographic/context/routine/location-like variable; privacy-risky and requires manual review before inclusion.,true,Number of minors under 18 years living in the participant’s household.,household information
CareArbeit,CareArbeit,quasi_identifier,drop,Demographic/context/routine/location-like variable; privacy-risky and requires manual review before inclusion.,true,"Whether the participant performs household, childcare, or care work for relatives.",care work
CareStunden,CareStunden,quasi_identifier,drop,Demographic/context/routine/location-like variable; privacy-risky and requires manual review before inclusion.,true,"Estimated number of hours per week spent on household, childcare, or care work.",care work
Social,Social,quasi_identifier,drop,Demographic/context/routine/location-like variable; privacy-risky and requires manual review before inclusion.,true,Estimated average number of hours per week spent with social contacts.,social contacts
utmsource,utmsource,recruitment_metadata,drop,Campaign/recruitment metadata; exclude unless recruitment-channel analyses are planned.,true,,
utmmedium,utmmedium,recruitment_metadata,drop,Campaign/recruitment metadata; exclude unless recruitment-channel analyses are planned.,true,,
utmcampaign,utmcampaign,recruitment_metadata,drop,Campaign/recruitment metadata; exclude unless recruitment-channel analyses are planned.,true,,
utmcontent,utmcontent,recruitment_metadata,drop,Campaign/recruitment metadata; exclude unless recruitment-channel analyses are planned.,true,,
BeschaeftProz,BeschaeftProz,quasi_identifier,drop,Demographic/context/routine/location-like variable; privacy-risky and requires manual review before inclusion.,true,,
UrlaubWochen,UrlaubWochen,quasi_identifier,drop,Demographic/context/routine/location-like variable; privacy-risky and requires manual review before inclusion.,true,,
StressWochen,StressWochen,quasi_identifier,drop,Demographic/context/routine/location-like variable; privacy-risky and requires manual review before inclusion.,true,,
